Territorial_Authority,Anzsoc_Division,Total_Victimisations,Price,Total_Population,School_Type,School_Count
Ashburton District,"Unlawful Entry With Intent/Burglary, Break and Enter",123,532157,36300,Secondary (Year 9-15),1
Auckland,"Abduction, Harassment and Other Related Offences Against a Person",68,1259185,1695200,Activity Centre,2
Auckland,"Abduction, Harassment and Other Related Offences Against a Person",68,1259185,1695200,Composite,40
Auckland,"Abduction, Harassment and Other Related Offences Against a Person",68,1259185,1695200,Contributing,221
Auckland,"Abduction, Harassment and Other Related Offences Against a Person",68,1259185,1695200,Full Primary,151
Auckland,"Abduction, Harassment and Other Related Offences Against a Person",68,1259185,1695200,Intermediate,42
Auckland,"Abduction, Harassment and Other Related Offences Against a Person",68,1259185,1695200,Restricted Composite (Year 7-10),2
Auckland,"Abduction, Harassment and Other Related Offences Against a Person",68,1259185,1695200,Secondary (Year 11-15),2
Auckland,"Abduction, Harassment and Other Related Offences Against a Person",68,1259185,1695200,Secondary (Year 7-10),3
Auckland,"Abduction, Harassment and Other Related Offences Against a Person",68,1259185,1695200,Secondary (Year 7-15),24
Auckland,"Abduction, Harassment and Other Related Offences Against a Person",68,1259185,1695200,Secondary (Year 9-15),60
Auckland,"Abduction, Harassment and Other Related Offences Against a Person",68,1259185,1695200,Special School,13
Auckland,"Abduction, Harassment and Other Related Offences Against a Person",68,1259185,1695200,Teen Parent Unit,4
Auckland,Acts Intended to Cause Injury,11926,1259185,1695200,Activity Centre,2
Auckland,Acts Intended to Cause Injury,11926,1259185,1695200,Composite,40
Auckland,Acts Intended to Cause Injury,11926,1259185,1695200,Contributing,221
Auckland,Acts Intended to Cause Injury,11926,1259185,1695200,Full Primary,151
Auckland,Acts Intended to Cause Injury,11926,1259185,1695200,Intermediate,42
Auckland,Acts Intended to Cause Injury,11926,1259185,1695200,Restricted Composite (Year 7-10),2
Auckland,Acts Intended to Cause Injury,11926,1259185,1695200,Secondary (Year 11-15),2
Auckland,Acts Intended to Cause Injury,11926,1259185,1695200,Secondary (Year 7-10),3
Auckland,Acts Intended to Cause Injury,11926,1259185,1695200,Secondary (Year 7-15),24
Auckland,Acts Intended to Cause Injury,11926,1259185,1695200,Secondary (Year 9-15),60
Auckland,Acts Intended to Cause Injury,11926,1259185,1695200,Special School,13
Auckland,Acts Intended to Cause Injury,11926,1259185,1695200,Teen Parent Unit,4
Auckland,"Robbery, Extortion and Related Offences",1071,1259185,1695200,Activity Centre,2
Auckland,"Robbery, Extortion and Related Offences",1071,1259185,1695200,Composite,40
Auckland,"Robbery, Extortion and Related Offences",1071,1259185,1695200,Contributing,221
Auckland,"Robbery, Extortion and Related Offences",1071,1259185,1695200,Full Primary,151
Auckland,"Robbery, Extortion and Related Offences",1071,1259185,1695200,Intermediate,42
Auckland,"Robbery, Extortion and Related Offences",1071,1259185,1695200,Restricted Composite (Year 7-10),2
Auckland,"Robbery, Extortion and Related Offences",1071,1259185,1695200,Secondary (Year 11-15),2
Auckland,"Robbery, Extortion and Related Offences",1071,1259185,1695200,Secondary (Year 7-10),3
Auckland,"Robbery, Extortion and Related Offences",1071,1259185,1695200,Secondary (Year 7-15),24
Auckland,"Robbery, Extortion and Related Offences",1071,1259185,1695200,Secondary (Year 9-15),60
Auckland,"Robbery, Extortion and Related Offences",1071,1259185,1695200,Special School,13
Auckland,"Robbery, Extortion and Related Offences",1071,1259185,1695200,Teen Parent Unit,4
Auckland,Sexual Assault and Related Offences,883,1259185,1695200,Activity Centre,2
Auckland,Sexual Assault and Related Offences,883,1259185,1695200,Composite,40
Auckland,Sexual Assault and Related Offences,883,1259185,1695200,Contributing,221
Auckland,Sexual Assault and Related Offences,883,1259185,1695200,Full Primary,151
Auckland,Sexual Assault and Related Offences,883,1259185,1695200,Intermediate,42
Auckland,Sexual Assault and Related Offences,883,1259185,1695200,Restricted Composite (Year 7-10),2
Auckland,Sexual Assault and Related Offences,883,1259185,1695200,Secondary (Year 11-15),2
Auckland,Sexual Assault and Related Offences,883,1259185,1695200,Secondary (Year 7-10),3
Auckland,Sexual Assault and Related Offences,883,1259185,1695200,Secondary (Year 7-15),24
Auckland,Sexual Assault and Related Offences,883,1259185,1695200,Secondary (Year 9-15),60
Auckland,Sexual Assault and Related Offences,883,1259185,1695200,Special School,13
Auckland,Sexual Assault and Related Offences,883,1259185,1695200,Teen Parent Unit,4
Auckland,Theft and Related Offences,41184,1259185,1695200,Activity Centre,2
Auckland,Theft and Related Offences,41184,1259185,1695200,Composite,40
Auckland,Theft and Related Offences,41184,1259185,1695200,Contributing,221
Auckland,Theft and Related Offences,41184,1259185,1695200,Full Primary,151
Auckland,Theft and Related Offences,41184,1259185,1695200,Intermediate,42
Auckland,Theft and Related Offences,41184,1259185,1695200,Restricted Composite (Year 7-10),2
Auckland,Theft and Related Offences,41184,1259185,1695200,Secondary (Year 11-15),2
Auckland,Theft and Related Offences,41184,1259185,1695200,Secondary (Year 7-10),3
Auckland,Theft and Related Offences,41184,1259185,1695200,Secondary (Year 7-15),24
Auckland,Theft and Related Offences,41184,1259185,1695200,Secondary (Year 9-15),60
Auckland,Theft and Related Offences,41184,1259185,1695200,Special School,13
Auckland,Theft and Related Offences,41184,1259185,1695200,Teen Parent Unit,4
Auckland,"Unlawful Entry With Intent/Burglary, Break and Enter",11167,1259185,1695200,Activity Centre,2
Auckland,"Unlawful Entry With Intent/Burglary, Break and Enter",11167,1259185,1695200,Composite,40
Auckland,"Unlawful Entry With Intent/Burglary, Break and Enter",11167,1259185,1695200,Contributing,221
Auckland,"Unlawful Entry With Intent/Burglary, Break and Enter",11167,1259185,1695200,Full Primary,151
Auckland,"Unlawful Entry With Intent/Burglary, Break and Enter",11167,1259185,1695200,Intermediate,42
Auckland,"Unlawful Entry With Intent/Burglary, Break and Enter",11167,1259185,1695200,Restricted Composite (Year 7-10),2
Auckland,"Unlawful Entry With Intent/Burglary, Break and Enter",11167,1259185,1695200,Secondary (Year 11-15),2
Auckland,"Unlawful Entry With Intent/Burglary, Break and Enter",11167,1259185,1695200,Secondary (Year 7-10),3
Auckland,"Unlawful Entry With Intent/Burglary, Break and Enter",11167,1259185,1695200,Secondary (Year 7-15),24
Auckland,"Unlawful Entry With Intent/Burglary, Break and Enter",11167,1259185,1695200,Secondary (Year 9-15),60
Auckland,"Unlawful Entry With Intent/Burglary, Break and Enter",11167,1259185,1695200,Special School,13
Auckland,"Unlawful Entry With Intent/Burglary, Break and Enter",11167,1259185,1695200,Teen Parent Unit,4
Buller District,Acts Intended to Cause Injury,67,336345,9730,Composite,2
Buller District,Acts Intended to Cause Injury,67,336345,9730,Full Primary,6
Buller District,Acts Intended to Cause Injury,67,336345,9730,Secondary (Year 9-15),1
Buller District,"Robbery, Extortion and Related Offences",1,336345,9730,Composite,2
Buller District,"Robbery, Extortion and Related Offences",1,336345,9730,Full Primary,6
Buller District,"Robbery, Extortion and Related Offences",1,336345,9730,Secondary (Year 9-15),1
Buller District,Sexual Assault and Related Offences,9,336345,9730,Composite,2
Buller District,Sexual Assault and Related Offences,9,336345,9730,Full Primary,6
Buller District,Sexual Assault and Related Offences,9,336345,9730,Secondary (Year 9-15),1
Buller District,Theft and Related Offences,98,336345,9730,Composite,2
Buller District,Theft and Related Offences,98,336345,9730,Full Primary,6
Buller District,Theft and Related Offences,98,336345,9730,Secondary (Year 9-15),1
Buller District,"Unlawful Entry With Intent/Burglary, Break and Enter",70,336345,9730,Composite,2
Buller District,"Unlawful Entry With Intent/Burglary, Break and Enter",70,336345,9730,Full Primary,6
Buller District,"Unlawful Entry With Intent/Burglary, Break and Enter",70,336345,9730,Secondary (Year 9-15),1
Carterton District,Acts Intended to Cause Injury,47,633301,10250,Composite,1
Carterton District,Acts Intended to Cause Injury,47,633301,10250,Full Primary,5
Carterton District,"Robbery, Extortion and Related Offences",2,633301,10250,Composite,1
Carterton District,"Robbery, Extortion and Related Offences",2,633301,10250,Full Primary,5
Carterton District,Sexual Assault and Related Offences,3,633301,10250,Composite,1
Carterton District,Sexual Assault and Related Offences,3,633301,10250,Full Primary,5
Carterton District,Theft and Related Offences,55,633301,10250,Composite,1
Carterton District,Theft and Related Offences,55,633301,10250,Full Primary,5
Carterton District,"Unlawful Entry With Intent/Burglary, Break and Enter",52,633301,10250,Composite,1
Carterton District,"Unlawful Entry With Intent/Burglary, Break and Enter",52,633301,10250,Full Primary,5
Central Hawke's Bay District,Acts Intended to Cause Injury,65,588040,15950,Full Primary,16
Central Hawke's Bay District,Acts Intended to Cause Injury,65,588040,15950,Secondary (Year 9-15),2
Central Hawke's Bay District,"Robbery, Extortion and Related Offences",6,588040,15950,Full Primary,16
Central Hawke's Bay District,"Robbery, Extortion and Related Offences",6,588040,15950,Secondary (Year 9-15),2
Central Hawke's Bay District,Sexual Assault and Related Offences,10,588040,15950,Full Primary,16
Central Hawke's Bay District,Sexual Assault and Related Offences,10,588040,15950,Secondary (Year 9-15),2
Central Hawke's Bay District,Theft and Related Offences,105,588040,15950,Full Primary,16
Central Hawke's Bay District,Theft and Related Offences,105,588040,15950,Secondary (Year 9-15),2
Central Hawke's Bay District,"Unlawful Entry With Intent/Burglary, Break and Enter",66,588040,15950,Full Primary,16
Central Hawke's Bay District,"Unlawful Entry With Intent/Burglary, Break and Enter",66,588040,15950,Secondary (Year 9-15),2
Central Otago District,Acts Intended to Cause Injury,106,788144,25500,Composite,2
Central Otago District,Acts Intended to Cause Injury,106,788144,25500,Contributing,2
Central Otago District,Acts Intended to Cause Injury,106,788144,25500,Full Primary,9
Central Otago District,Acts Intended to Cause Injury,106,788144,25500,Secondary (Year 7-15),1
Central Otago District,Acts Intended to Cause Injury,106,788144,25500,Secondary (Year 9-15),1
Central Otago District,"Robbery, Extortion and Related Offences",3,788144,25500,Composite,2
Central Otago District,"Robbery, Extortion and Related Offences",3,788144,25500,Contributing,2
Central Otago District,"Robbery, Extortion and Related Offences",3,788144,25500,Full Primary,9
Central Otago District,"Robbery, Extortion and Related Offences",3,788144,25500,Secondary (Year 7-15),1
Central Otago District,"Robbery, Extortion and Related Offences",3,788144,25500,Secondary (Year 9-15),1
Central Otago District,Sexual Assault and Related Offences,14,788144,25500,Composite,2
Central Otago District,Sexual Assault and Related Offences,14,788144,25500,Contributing,2
Central Otago District,Sexual Assault and Related Offences,14,788144,25500,Full Primary,9
Central Otago District,Sexual Assault and Related Offences,14,788144,25500,Secondary (Year 7-15),1
Central Otago District,Sexual Assault and Related Offences,14,788144,25500,Secondary (Year 9-15),1
Central Otago District,Theft and Related Offences,85,788144,25500,Composite,2
Central Otago District,Theft and Related Offences,85,788144,25500,Contributing,2
Central Otago District,Theft and Related Offences,85,788144,25500,Full Primary,9
Central Otago District,Theft and Related Offences,85,788144,25500,Secondary (Year 7-15),1
Central Otago District,Theft and Related Offences,85,788144,25500,Secondary (Year 9-15),1
Central Otago District,"Unlawful Entry With Intent/Burglary, Break and Enter",55,788144,25500,Composite,2
Central Otago District,"Unlawful Entry With Intent/Burglary, Break and Enter",55,788144,25500,Contributing,2
Central Otago District,"Unlawful Entry With Intent/Burglary, Break and Enter",55,788144,25500,Full Primary,9
Central Otago District,"Unlawful Entry With Intent/Burglary, Break and Enter",55,788144,25500,Secondary (Year 7-15),1
Central Otago District,"Unlawful Entry With Intent/Burglary, Break and Enter",55,788144,25500,Secondary (Year 9-15),1
Christchurch City,"Abduction, Harassment and Other Related Offences Against a Person",18,730646,389300,Composite,14
Christchurch City,"Abduction, Harassment and Other Related Offences Against a Person",18,730646,389300,Contributing,36
Christchurch City,"Abduction, Harassment and Other Related Offences Against a Person",18,730646,389300,Full Primary,58
Christchurch City,"Abduction, Harassment and Other Related Offences Against a Person",18,730646,389300,Intermediate,8
Christchurch City,"Abduction, Harassment and Other Related Offences Against a Person",18,730646,389300,Secondary (Year 7-15),7
Christchurch City,"Abduction, Harassment and Other Related Offences Against a Person",18,730646,389300,Secondary (Year 9-15),14
Christchurch City,"Abduction, Harassment and Other Related Offences Against a Person",18,730646,389300,Special School,6
Christchurch City,"Abduction, Harassment and Other Related Offences Against a Person",18,730646,389300,Teen Parent Unit,1
Christchurch City,Acts Intended to Cause Injury,2440,730646,389300,Composite,14
Christchurch City,Acts Intended to Cause Injury,2440,730646,389300,Contributing,36
Christchurch City,Acts Intended to Cause Injury,2440,730646,389300,Full Primary,58
Christchurch City,Acts Intended to Cause Injury,2440,730646,389300,Intermediate,8
Christchurch City,Acts Intended to Cause Injury,2440,730646,389300,Secondary (Year 7-15),7
Christchurch City,Acts Intended to Cause Injury,2440,730646,389300,Secondary (Year 9-15),14
Christchurch City,Acts Intended to Cause Injury,2440,730646,389300,Special School,6
Christchurch City,Acts Intended to Cause Injury,2440,730646,389300,Teen Parent Unit,1
Christchurch City,"Robbery, Extortion and Related Offences",318,730646,389300,Composite,14
Christchurch City,"Robbery, Extortion and Related Offences",318,730646,389300,Contributing,36
Christchurch City,"Robbery, Extortion and Related Offences",318,730646,389300,Full Primary,58
Christchurch City,"Robbery, Extortion and Related Offences",318,730646,389300,Intermediate,8
Christchurch City,"Robbery, Extortion and Related Offences",318,730646,389300,Secondary (Year 7-15),7
Christchurch City,"Robbery, Extortion and Related Offences",318,730646,389300,Secondary (Year 9-15),14
Christchurch City,"Robbery, Extortion and Related Offences",318,730646,389300,Special School,6
Christchurch City,"Robbery, Extortion and Related Offences",318,730646,389300,Teen Parent Unit,1
Christchurch City,Sexual Assault and Related Offences,340,730646,389300,Composite,14
Christchurch City,Sexual Assault and Related Offences,340,730646,389300,Contributing,36
Christchurch City,Sexual Assault and Related Offences,340,730646,389300,Full Primary,58
Christchurch City,Sexual Assault and Related Offences,340,730646,389300,Intermediate,8
Christchurch City,Sexual Assault and Related Offences,340,730646,389300,Secondary (Year 7-15),7
Christchurch City,Sexual Assault and Related Offences,340,730646,389300,Secondary (Year 9-15),14
Christchurch City,Sexual Assault and Related Offences,340,730646,389300,Special School,6
Christchurch City,Sexual Assault and Related Offences,340,730646,389300,Teen Parent Unit,1
Christchurch City,Theft and Related Offences,14010,730646,389300,Composite,14
Christchurch City,Theft and Related Offences,14010,730646,389300,Contributing,36
Christchurch City,Theft and Related Offences,14010,730646,389300,Full Primary,58
Christchurch City,Theft and Related Offences,14010,730646,389300,Intermediate,8
Christchurch City,Theft and Related Offences,14010,730646,389300,Secondary (Year 7-15),7
Christchurch City,Theft and Related Offences,14010,730646,389300,Secondary (Year 9-15),14
Christchurch City,Theft and Related Offences,14010,730646,389300,Special School,6
Christchurch City,Theft and Related Offences,14010,730646,389300,Teen Parent Unit,1
Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",4262,730646,389300,Composite,14
Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",4262,730646,389300,Contributing,36
Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",4262,730646,389300,Full Primary,58
Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",4262,730646,389300,Intermediate,8
Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",4262,730646,389300,Secondary (Year 7-15),7
Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",4262,730646,389300,Secondary (Year 9-15),14
Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",4262,730646,389300,Special School,6
Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",4262,730646,389300,Teen Parent Unit,1
Clutha District,Acts Intended to Cause Injury,110,392835,18650,Composite,2
Clutha District,Acts Intended to Cause Injury,110,392835,18650,Contributing,7
Clutha District,Acts Intended to Cause Injury,110,392835,18650,Full Primary,13
Clutha District,Acts Intended to Cause Injury,110,392835,18650,Secondary (Year 7-15),2
Clutha District,Acts Intended to Cause Injury,110,392835,18650,Secondary (Year 9-15),1
Clutha District,"Robbery, Extortion and Related Offences",4,392835,18650,Composite,2
Clutha District,"Robbery, Extortion and Related Offences",4,392835,18650,Contributing,7
Clutha District,"Robbery, Extortion and Related Offences",4,392835,18650,Full Primary,13
Clutha District,"Robbery, Extortion and Related Offences",4,392835,18650,Secondary (Year 7-15),2
Clutha District,"Robbery, Extortion and Related Offences",4,392835,18650,Secondary (Year 9-15),1
Clutha District,Sexual Assault and Related Offences,14,392835,18650,Composite,2
Clutha District,Sexual Assault and Related Offences,14,392835,18650,Contributing,7
Clutha District,Sexual Assault and Related Offences,14,392835,18650,Full Primary,13
Clutha District,Sexual Assault and Related Offences,14,392835,18650,Secondary (Year 7-15),2
Clutha District,Sexual Assault and Related Offences,14,392835,18650,Secondary (Year 9-15),1
Clutha District,Theft and Related Offences,77,392835,18650,Composite,2
Clutha District,Theft and Related Offences,77,392835,18650,Contributing,7
Clutha District,Theft and Related Offences,77,392835,18650,Full Primary,13
Clutha District,Theft and Related Offences,77,392835,18650,Secondary (Year 7-15),2
Clutha District,Theft and Related Offences,77,392835,18650,Secondary (Year 9-15),1
Clutha District,"Unlawful Entry With Intent/Burglary, Break and Enter",83,392835,18650,Composite,2
Clutha District,"Unlawful Entry With Intent/Burglary, Break and Enter",83,392835,18650,Contributing,7
Clutha District,"Unlawful Entry With Intent/Burglary, Break and Enter",83,392835,18650,Full Primary,13
Clutha District,"Unlawful Entry With Intent/Burglary, Break and Enter",83,392835,18650,Secondary (Year 7-15),2
Clutha District,"Unlawful Entry With Intent/Burglary, Break and Enter",83,392835,18650,Secondary (Year 9-15),1
Dunedin City,"Abduction, Harassment and Other Related Offences Against a Person",1,616117,130400,Activity Centre,1
Dunedin City,"Abduction, Harassment and Other Related Offences Against a Person",1,616117,130400,Composite,3
Dunedin City,"Abduction, Harassment and Other Related Offences Against a Person",1,616117,130400,Contributing,32
Dunedin City,"Abduction, Harassment and Other Related Offences Against a Person",1,616117,130400,Full Primary,21
Dunedin City,"Abduction, Harassment and Other Related Offences Against a Person",1,616117,130400,Intermediate,3
Dunedin City,"Abduction, Harassment and Other Related Offences Against a Person",1,616117,130400,Secondary (Year 7-15),5
Dunedin City,"Abduction, Harassment and Other Related Offences Against a Person",1,616117,130400,Secondary (Year 9-15),6
Dunedin City,"Abduction, Harassment and Other Related Offences Against a Person",1,616117,130400,Special School,1
Dunedin City,Acts Intended to Cause Injury,673,616117,130400,Activity Centre,1
Dunedin City,Acts Intended to Cause Injury,673,616117,130400,Composite,3
Dunedin City,Acts Intended to Cause Injury,673,616117,130400,Contributing,32
Dunedin City,Acts Intended to Cause Injury,673,616117,130400,Full Primary,21
Dunedin City,Acts Intended to Cause Injury,673,616117,130400,Intermediate,3
Dunedin City,Acts Intended to Cause Injury,673,616117,130400,Secondary (Year 7-15),5
Dunedin City,Acts Intended to Cause Injury,673,616117,130400,Secondary (Year 9-15),6
Dunedin City,Acts Intended to Cause Injury,673,616117,130400,Special School,1
Dunedin City,"Robbery, Extortion and Related Offences",71,616117,130400,Activity Centre,1
Dunedin City,"Robbery, Extortion and Related Offences",71,616117,130400,Composite,3
Dunedin City,"Robbery, Extortion and Related Offences",71,616117,130400,Contributing,32
Dunedin City,"Robbery, Extortion and Related Offences",71,616117,130400,Full Primary,21
Dunedin City,"Robbery, Extortion and Related Offences",71,616117,130400,Intermediate,3
Dunedin City,"Robbery, Extortion and Related Offences",71,616117,130400,Secondary (Year 7-15),5
Dunedin City,"Robbery, Extortion and Related Offences",71,616117,130400,Secondary (Year 9-15),6
Dunedin City,"Robbery, Extortion and Related Offences",71,616117,130400,Special School,1
Dunedin City,Sexual Assault and Related Offences,110,616117,130400,Activity Centre,1
Dunedin City,Sexual Assault and Related Offences,110,616117,130400,Composite,3
Dunedin City,Sexual Assault and Related Offences,110,616117,130400,Contributing,32
Dunedin City,Sexual Assault and Related Offences,110,616117,130400,Full Primary,21
Dunedin City,Sexual Assault and Related Offences,110,616117,130400,Intermediate,3
Dunedin City,Sexual Assault and Related Offences,110,616117,130400,Secondary (Year 7-15),5
Dunedin City,Sexual Assault and Related Offences,110,616117,130400,Secondary (Year 9-15),6
Dunedin City,Sexual Assault and Related Offences,110,616117,130400,Special School,1
Dunedin City,Theft and Related Offences,1641,616117,130400,Activity Centre,1
Dunedin City,Theft and Related Offences,1641,616117,130400,Composite,3
Dunedin City,Theft and Related Offences,1641,616117,130400,Contributing,32
Dunedin City,Theft and Related Offences,1641,616117,130400,Full Primary,21
Dunedin City,Theft and Related Offences,1641,616117,130400,Intermediate,3
Dunedin City,Theft and Related Offences,1641,616117,130400,Secondary (Year 7-15),5
Dunedin City,Theft and Related Offences,1641,616117,130400,Secondary (Year 9-15),6
Dunedin City,Theft and Related Offences,1641,616117,130400,Special School,1
Dunedin City,"Unlawful Entry With Intent/Burglary, Break and Enter",488,616117,130400,Activity Centre,1
Dunedin City,"Unlawful Entry With Intent/Burglary, Break and Enter",488,616117,130400,Composite,3
Dunedin City,"Unlawful Entry With Intent/Burglary, Break and Enter",488,616117,130400,Contributing,32
Dunedin City,"Unlawful Entry With Intent/Burglary, Break and Enter",488,616117,130400,Full Primary,21
Dunedin City,"Unlawful Entry With Intent/Burglary, Break and Enter",488,616117,130400,Intermediate,3
Dunedin City,"Unlawful Entry With Intent/Burglary, Break and Enter",488,616117,130400,Secondary (Year 7-15),5
Dunedin City,"Unlawful Entry With Intent/Burglary, Break and Enter",488,616117,130400,Secondary (Year 9-15),6
Dunedin City,"Unlawful Entry With Intent/Burglary, Break and Enter",488,616117,130400,Special School,1
Far North District,"Abduction, Harassment and Other Related Offences Against a Person",2,700402,73800,Composite,15
Far North District,"Abduction, Harassment and Other Related Offences Against a Person",2,700402,73800,Composite (Year 1-10),1
Far North District,"Abduction, Harassment and Other Related Offences Against a Person",2,700402,73800,Contributing,17
Far North District,"Abduction, Harassment and Other Related Offences Against a Person",2,700402,73800,Full Primary,31
Far North District,"Abduction, Harassment and Other Related Offences Against a Person",2,700402,73800,Intermediate,2
Far North District,"Abduction, Harassment and Other Related Offences Against a Person",2,700402,73800,Secondary (Year 7-15),3
Far North District,"Abduction, Harassment and Other Related Offences Against a Person",2,700402,73800,Secondary (Year 9-15),3
Far North District,"Abduction, Harassment and Other Related Offences Against a Person",2,700402,73800,Teen Parent Unit,1
Far North District,Acts Intended to Cause Injury,578,700402,73800,Composite,15
Far North District,Acts Intended to Cause Injury,578,700402,73800,Composite (Year 1-10),1
Far North District,Acts Intended to Cause Injury,578,700402,73800,Contributing,17
Far North District,Acts Intended to Cause Injury,578,700402,73800,Full Primary,31
Far North District,Acts Intended to Cause Injury,578,700402,73800,Intermediate,2
Far North District,Acts Intended to Cause Injury,578,700402,73800,Secondary (Year 7-15),3
Far North District,Acts Intended to Cause Injury,578,700402,73800,Secondary (Year 9-15),3
Far North District,Acts Intended to Cause Injury,578,700402,73800,Teen Parent Unit,1
Far North District,"Robbery, Extortion and Related Offences",18,700402,73800,Composite,15
Far North District,"Robbery, Extortion and Related Offences",18,700402,73800,Composite (Year 1-10),1
Far North District,"Robbery, Extortion and Related Offences",18,700402,73800,Contributing,17
Far North District,"Robbery, Extortion and Related Offences",18,700402,73800,Full Primary,31
Far North District,"Robbery, Extortion and Related Offences",18,700402,73800,Intermediate,2
Far North District,"Robbery, Extortion and Related Offences",18,700402,73800,Secondary (Year 7-15),3
Far North District,"Robbery, Extortion and Related Offences",18,700402,73800,Secondary (Year 9-15),3
Far North District,"Robbery, Extortion and Related Offences",18,700402,73800,Teen Parent Unit,1
Far North District,Sexual Assault and Related Offences,73,700402,73800,Composite,15
Far North District,Sexual Assault and Related Offences,73,700402,73800,Composite (Year 1-10),1
Far North District,Sexual Assault and Related Offences,73,700402,73800,Contributing,17
Far North District,Sexual Assault and Related Offences,73,700402,73800,Full Primary,31
Far North District,Sexual Assault and Related Offences,73,700402,73800,Intermediate,2
Far North District,Sexual Assault and Related Offences,73,700402,73800,Secondary (Year 7-15),3
Far North District,Sexual Assault and Related Offences,73,700402,73800,Secondary (Year 9-15),3
Far North District,Sexual Assault and Related Offences,73,700402,73800,Teen Parent Unit,1
Far North District,Theft and Related Offences,1436,700402,73800,Composite,15
Far North District,Theft and Related Offences,1436,700402,73800,Composite (Year 1-10),1
Far North District,Theft and Related Offences,1436,700402,73800,Contributing,17
Far North District,Theft and Related Offences,1436,700402,73800,Full Primary,31
Far North District,Theft and Related Offences,1436,700402,73800,Intermediate,2
Far North District,Theft and Related Offences,1436,700402,73800,Secondary (Year 7-15),3
Far North District,Theft and Related Offences,1436,700402,73800,Secondary (Year 9-15),3
Far North District,Theft and Related Offences,1436,700402,73800,Teen Parent Unit,1
Far North District,"Unlawful Entry With Intent/Burglary, Break and Enter",779,700402,73800,Composite,15
Far North District,"Unlawful Entry With Intent/Burglary, Break and Enter",779,700402,73800,Composite (Year 1-10),1
Far North District,"Unlawful Entry With Intent/Burglary, Break and Enter",779,700402,73800,Contributing,17
Far North District,"Unlawful Entry With Intent/Burglary, Break and Enter",779,700402,73800,Full Primary,31
Far North District,"Unlawful Entry With Intent/Burglary, Break and Enter",779,700402,73800,Intermediate,2
Far North District,"Unlawful Entry With Intent/Burglary, Break and Enter",779,700402,73800,Secondary (Year 7-15),3
Far North District,"Unlawful Entry With Intent/Burglary, Break and Enter",779,700402,73800,Secondary (Year 9-15),3
Far North District,"Unlawful Entry With Intent/Burglary, Break and Enter",779,700402,73800,Teen Parent Unit,1
Gisborne District,"Abduction, Harassment and Other Related Offences Against a Person",5,589585,52100,Activity Centre,1
