X,Territorial_Authority,Anzsoc_Division,Total_Victimisations,Price,Total_Population,School_Type,School_Count
11,Auckland,"Abduction, Harassment and Other Related Offences Against a Person",68,1259185,1695200,Teen Parent Unit,4
12,Auckland,Acts Intended to Cause Injury,11926,1259185,1695200,Activity Centre,2
12,Auckland,Acts Intended to Cause Injury,11926,1259185,1695200,Composite,40
12,Auckland,Acts Intended to Cause Injury,11926,1259185,1695200,Contributing,221
12,Auckland,Acts Intended to Cause Injury,11926,1259185,1695200,Full Primary,151
12,Auckland,Acts Intended to Cause Injury,11926,1259185,1695200,Intermediate,42
12,Auckland,Acts Intended to Cause Injury,11926,1259185,1695200,Restricted Composite (Year 7-10),2
12,Auckland,Acts Intended to Cause Injury,11926,1259185,1695200,Secondary (Year 11-15),2
12,Auckland,Acts Intended to Cause Injury,11926,1259185,1695200,Secondary (Year 7-10),3
12,Auckland,Acts Intended to Cause Injury,11926,1259185,1695200,Secondary (Year 7-15),24
12,Auckland,Acts Intended to Cause Injury,11926,1259185,1695200,Secondary (Year 9-15),60
12,Auckland,Acts Intended to Cause Injury,11926,1259185,1695200,Special School,13
12,Auckland,Acts Intended to Cause Injury,11926,1259185,1695200,Teen Parent Unit,4
13,Auckland,"Robbery, Extortion and Related Offences",1071,1259185,1695200,Activity Centre,2
13,Auckland,"Robbery, Extortion and Related Offences",1071,1259185,1695200,Composite,40
13,Auckland,"Robbery, Extortion and Related Offences",1071,1259185,1695200,Contributing,221
13,Auckland,"Robbery, Extortion and Related Offences",1071,1259185,1695200,Full Primary,151
13,Auckland,"Robbery, Extortion and Related Offences",1071,1259185,1695200,Intermediate,42
13,Auckland,"Robbery, Extortion and Related Offences",1071,1259185,1695200,Restricted Composite (Year 7-10),2
13,Auckland,"Robbery, Extortion and Related Offences",1071,1259185,1695200,Secondary (Year 11-15),2
13,Auckland,"Robbery, Extortion and Related Offences",1071,1259185,1695200,Secondary (Year 7-10),3
13,Auckland,"Robbery, Extortion and Related Offences",1071,1259185,1695200,Secondary (Year 7-15),24
13,Auckland,"Robbery, Extortion and Related Offences",1071,1259185,1695200,Secondary (Year 9-15),60
13,Auckland,"Robbery, Extortion and Related Offences",1071,1259185,1695200,Special School,13
13,Auckland,"Robbery, Extortion and Related Offences",1071,1259185,1695200,Teen Parent Unit,4
14,Auckland,Sexual Assault and Related Offences,883,1259185,1695200,Activity Centre,2
14,Auckland,Sexual Assault and Related Offences,883,1259185,1695200,Composite,40
14,Auckland,Sexual Assault and Related Offences,883,1259185,1695200,Contributing,221
14,Auckland,Sexual Assault and Related Offences,883,1259185,1695200,Full Primary,151
14,Auckland,Sexual Assault and Related Offences,883,1259185,1695200,Intermediate,42
14,Auckland,Sexual Assault and Related Offences,883,1259185,1695200,Restricted Composite (Year 7-10),2
14,Auckland,Sexual Assault and Related Offences,883,1259185,1695200,Secondary (Year 11-15),2
14,Auckland,Sexual Assault and Related Offences,883,1259185,1695200,Secondary (Year 7-10),3
14,Auckland,Sexual Assault and Related Offences,883,1259185,1695200,Secondary (Year 7-15),24
14,Auckland,Sexual Assault and Related Offences,883,1259185,1695200,Secondary (Year 9-15),60
14,Auckland,Sexual Assault and Related Offences,883,1259185,1695200,Special School,13
14,Auckland,Sexual Assault and Related Offences,883,1259185,1695200,Teen Parent Unit,4
15,Auckland,Theft and Related Offences,41184,1259185,1695200,Activity Centre,2
15,Auckland,Theft and Related Offences,41184,1259185,1695200,Composite,40
15,Auckland,Theft and Related Offences,41184,1259185,1695200,Contributing,221
15,Auckland,Theft and Related Offences,41184,1259185,1695200,Full Primary,151
15,Auckland,Theft and Related Offences,41184,1259185,1695200,Intermediate,42
15,Auckland,Theft and Related Offences,41184,1259185,1695200,Restricted Composite (Year 7-10),2
15,Auckland,Theft and Related Offences,41184,1259185,1695200,Secondary (Year 11-15),2
15,Auckland,Theft and Related Offences,41184,1259185,1695200,Secondary (Year 7-10),3
15,Auckland,Theft and Related Offences,41184,1259185,1695200,Secondary (Year 7-15),24
15,Auckland,Theft and Related Offences,41184,1259185,1695200,Secondary (Year 9-15),60
15,Auckland,Theft and Related Offences,41184,1259185,1695200,Special School,13
15,Auckland,Theft and Related Offences,41184,1259185,1695200,Teen Parent Unit,4
16,Auckland,"Unlawful Entry With Intent/Burglary, Break and Enter",11167,1259185,1695200,Activity Centre,2
16,Auckland,"Unlawful Entry With Intent/Burglary, Break and Enter",11167,1259185,1695200,Composite,40
16,Auckland,"Unlawful Entry With Intent/Burglary, Break and Enter",11167,1259185,1695200,Contributing,221
16,Auckland,"Unlawful Entry With Intent/Burglary, Break and Enter",11167,1259185,1695200,Full Primary,151
16,Auckland,"Unlawful Entry With Intent/Burglary, Break and Enter",11167,1259185,1695200,Intermediate,42
16,Auckland,"Unlawful Entry With Intent/Burglary, Break and Enter",11167,1259185,1695200,Restricted Composite (Year 7-10),2
16,Auckland,"Unlawful Entry With Intent/Burglary, Break and Enter",11167,1259185,1695200,Secondary (Year 11-15),2
16,Auckland,"Unlawful Entry With Intent/Burglary, Break and Enter",11167,1259185,1695200,Secondary (Year 7-10),3
16,Auckland,"Unlawful Entry With Intent/Burglary, Break and Enter",11167,1259185,1695200,Secondary (Year 7-15),24
16,Auckland,"Unlawful Entry With Intent/Burglary, Break and Enter",11167,1259185,1695200,Secondary (Year 9-15),60
16,Auckland,"Unlawful Entry With Intent/Burglary, Break and Enter",11167,1259185,1695200,Special School,13
16,Auckland,"Unlawful Entry With Intent/Burglary, Break and Enter",11167,1259185,1695200,Teen Parent Unit,4
17,Buller District,Acts Intended to Cause Injury,67,336345,9730,Composite,2
17,Buller District,Acts Intended to Cause Injury,67,336345,9730,Full Primary,6
17,Buller District,Acts Intended to Cause Injury,67,336345,9730,Secondary (Year 9-15),1
18,Buller District,"Robbery, Extortion and Related Offences",1,336345,9730,Composite,2
18,Buller District,"Robbery, Extortion and Related Offences",1,336345,9730,Full Primary,6
18,Buller District,"Robbery, Extortion and Related Offences",1,336345,9730,Secondary (Year 9-15),1
19,Buller District,Sexual Assault and Related Offences,9,336345,9730,Composite,2
19,Buller District,Sexual Assault and Related Offences,9,336345,9730,Full Primary,6
19,Buller District,Sexual Assault and Related Offences,9,336345,9730,Secondary (Year 9-15),1
20,Buller District,Theft and Related Offences,98,336345,9730,Composite,2
20,Buller District,Theft and Related Offences,98,336345,9730,Full Primary,6
20,Buller District,Theft and Related Offences,98,336345,9730,Secondary (Year 9-15),1
21,Buller District,"Unlawful Entry With Intent/Burglary, Break and Enter",70,336345,9730,Composite,2
21,Buller District,"Unlawful Entry With Intent/Burglary, Break and Enter",70,336345,9730,Full Primary,6
21,Buller District,"Unlawful Entry With Intent/Burglary, Break and Enter",70,336345,9730,Secondary (Year 9-15),1
22,Carterton District,Acts Intended to Cause Injury,47,633301,10250,Composite,1
22,Carterton District,Acts Intended to Cause Injury,47,633301,10250,Full Primary,5
23,Carterton District,"Robbery, Extortion and Related Offences",2,633301,10250,Composite,1
23,Carterton District,"Robbery, Extortion and Related Offences",2,633301,10250,Full Primary,5
24,Carterton District,Sexual Assault and Related Offences,3,633301,10250,Composite,1
24,Carterton District,Sexual Assault and Related Offences,3,633301,10250,Full Primary,5
25,Carterton District,Theft and Related Offences,55,633301,10250,Composite,1
25,Carterton District,Theft and Related Offences,55,633301,10250,Full Primary,5
26,Carterton District,"Unlawful Entry With Intent/Burglary, Break and Enter",52,633301,10250,Composite,1
26,Carterton District,"Unlawful Entry With Intent/Burglary, Break and Enter",52,633301,10250,Full Primary,5
27,Central Hawke's Bay District,Acts Intended to Cause Injury,65,588040,15950,Full Primary,16
27,Central Hawke's Bay District,Acts Intended to Cause Injury,65,588040,15950,Secondary (Year 9-15),2
28,Central Hawke's Bay District,"Robbery, Extortion and Related Offences",6,588040,15950,Full Primary,16
28,Central Hawke's Bay District,"Robbery, Extortion and Related Offences",6,588040,15950,Secondary (Year 9-15),2
29,Central Hawke's Bay District,Sexual Assault and Related Offences,10,588040,15950,Full Primary,16
29,Central Hawke's Bay District,Sexual Assault and Related Offences,10,588040,15950,Secondary (Year 9-15),2
30,Central Hawke's Bay District,Theft and Related Offences,105,588040,15950,Full Primary,16
30,Central Hawke's Bay District,Theft and Related Offences,105,588040,15950,Secondary (Year 9-15),2
31,Central Hawke's Bay District,"Unlawful Entry With Intent/Burglary, Break and Enter",66,588040,15950,Full Primary,16
31,Central Hawke's Bay District,"Unlawful Entry With Intent/Burglary, Break and Enter",66,588040,15950,Secondary (Year 9-15),2
32,Central Otago District,Acts Intended to Cause Injury,106,788144,25500,Composite,2
32,Central Otago District,Acts Intended to Cause Injury,106,788144,25500,Contributing,2
32,Central Otago District,Acts Intended to Cause Injury,106,788144,25500,Full Primary,9
32,Central Otago District,Acts Intended to Cause Injury,106,788144,25500,Secondary (Year 7-15),1
32,Central Otago District,Acts Intended to Cause Injury,106,788144,25500,Secondary (Year 9-15),1
33,Central Otago District,"Robbery, Extortion and Related Offences",3,788144,25500,Composite,2
33,Central Otago District,"Robbery, Extortion and Related Offences",3,788144,25500,Contributing,2
33,Central Otago District,"Robbery, Extortion and Related Offences",3,788144,25500,Full Primary,9
33,Central Otago District,"Robbery, Extortion and Related Offences",3,788144,25500,Secondary (Year 7-15),1
33,Central Otago District,"Robbery, Extortion and Related Offences",3,788144,25500,Secondary (Year 9-15),1
34,Central Otago District,Sexual Assault and Related Offences,14,788144,25500,Composite,2
34,Central Otago District,Sexual Assault and Related Offences,14,788144,25500,Contributing,2
34,Central Otago District,Sexual Assault and Related Offences,14,788144,25500,Full Primary,9
34,Central Otago District,Sexual Assault and Related Offences,14,788144,25500,Secondary (Year 7-15),1
34,Central Otago District,Sexual Assault and Related Offences,14,788144,25500,Secondary (Year 9-15),1
35,Central Otago District,Theft and Related Offences,85,788144,25500,Composite,2
35,Central Otago District,Theft and Related Offences,85,788144,25500,Contributing,2
35,Central Otago District,Theft and Related Offences,85,788144,25500,Full Primary,9
35,Central Otago District,Theft and Related Offences,85,788144,25500,Secondary (Year 7-15),1
35,Central Otago District,Theft and Related Offences,85,788144,25500,Secondary (Year 9-15),1
36,Central Otago District,"Unlawful Entry With Intent/Burglary, Break and Enter",55,788144,25500,Composite,2
36,Central Otago District,"Unlawful Entry With Intent/Burglary, Break and Enter",55,788144,25500,Contributing,2
36,Central Otago District,"Unlawful Entry With Intent/Burglary, Break and Enter",55,788144,25500,Full Primary,9
36,Central Otago District,"Unlawful Entry With Intent/Burglary, Break and Enter",55,788144,25500,Secondary (Year 7-15),1
36,Central Otago District,"Unlawful Entry With Intent/Burglary, Break and Enter",55,788144,25500,Secondary (Year 9-15),1
40,Christchurch City,"Abduction, Harassment and Other Related Offences Against a Person",18,730646,389300,Composite,14
40,Christchurch City,"Abduction, Harassment and Other Related Offences Against a Person",18,730646,389300,Contributing,36
40,Christchurch City,"Abduction, Harassment and Other Related Offences Against a Person",18,730646,389300,Full Primary,58
40,Christchurch City,"Abduction, Harassment and Other Related Offences Against a Person",18,730646,389300,Intermediate,8
40,Christchurch City,"Abduction, Harassment and Other Related Offences Against a Person",18,730646,389300,Secondary (Year 7-15),7
40,Christchurch City,"Abduction, Harassment and Other Related Offences Against a Person",18,730646,389300,Secondary (Year 9-15),14
40,Christchurch City,"Abduction, Harassment and Other Related Offences Against a Person",18,730646,389300,Special School,6
40,Christchurch City,"Abduction, Harassment and Other Related Offences Against a Person",18,730646,389300,Teen Parent Unit,1
41,Christchurch City,Acts Intended to Cause Injury,2440,730646,389300,Composite,14
41,Christchurch City,Acts Intended to Cause Injury,2440,730646,389300,Contributing,36
41,Christchurch City,Acts Intended to Cause Injury,2440,730646,389300,Full Primary,58
41,Christchurch City,Acts Intended to Cause Injury,2440,730646,389300,Intermediate,8
41,Christchurch City,Acts Intended to Cause Injury,2440,730646,389300,Secondary (Year 7-15),7
41,Christchurch City,Acts Intended to Cause Injury,2440,730646,389300,Secondary (Year 9-15),14
41,Christchurch City,Acts Intended to Cause Injury,2440,730646,389300,Special School,6
41,Christchurch City,Acts Intended to Cause Injury,2440,730646,389300,Teen Parent Unit,1
42,Christchurch City,"Robbery, Extortion and Related Offences",318,730646,389300,Composite,14
42,Christchurch City,"Robbery, Extortion and Related Offences",318,730646,389300,Contributing,36
42,Christchurch City,"Robbery, Extortion and Related Offences",318,730646,389300,Full Primary,58
42,Christchurch City,"Robbery, Extortion and Related Offences",318,730646,389300,Intermediate,8
42,Christchurch City,"Robbery, Extortion and Related Offences",318,730646,389300,Secondary (Year 7-15),7
42,Christchurch City,"Robbery, Extortion and Related Offences",318,730646,389300,Secondary (Year 9-15),14
42,Christchurch City,"Robbery, Extortion and Related Offences",318,730646,389300,Special School,6
42,Christchurch City,"Robbery, Extortion and Related Offences",318,730646,389300,Teen Parent Unit,1
43,Christchurch City,Sexual Assault and Related Offences,340,730646,389300,Composite,14
43,Christchurch City,Sexual Assault and Related Offences,340,730646,389300,Contributing,36
43,Christchurch City,Sexual Assault and Related Offences,340,730646,389300,Full Primary,58
43,Christchurch City,Sexual Assault and Related Offences,340,730646,389300,Intermediate,8
43,Christchurch City,Sexual Assault and Related Offences,340,730646,389300,Secondary (Year 7-15),7
43,Christchurch City,Sexual Assault and Related Offences,340,730646,389300,Secondary (Year 9-15),14
43,Christchurch City,Sexual Assault and Related Offences,340,730646,389300,Special School,6
43,Christchurch City,Sexual Assault and Related Offences,340,730646,389300,Teen Parent Unit,1
44,Christchurch City,Theft and Related Offences,14010,730646,389300,Composite,14
44,Christchurch City,Theft and Related Offences,14010,730646,389300,Contributing,36
44,Christchurch City,Theft and Related Offences,14010,730646,389300,Full Primary,58
44,Christchurch City,Theft and Related Offences,14010,730646,389300,Intermediate,8
44,Christchurch City,Theft and Related Offences,14010,730646,389300,Secondary (Year 7-15),7
44,Christchurch City,Theft and Related Offences,14010,730646,389300,Secondary (Year 9-15),14
44,Christchurch City,Theft and Related Offences,14010,730646,389300,Special School,6
44,Christchurch City,Theft and Related Offences,14010,730646,389300,Teen Parent Unit,1
45,Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",4262,730646,389300,Composite,14
45,Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",4262,730646,389300,Contributing,36
45,Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",4262,730646,389300,Full Primary,58
45,Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",4262,730646,389300,Intermediate,8
45,Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",4262,730646,389300,Secondary (Year 7-15),7
45,Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",4262,730646,389300,Secondary (Year 9-15),14
45,Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",4262,730646,389300,Special School,6
45,Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",4262,730646,389300,Teen Parent Unit,1
46,Clutha District,Acts Intended to Cause Injury,110,392835,18650,Composite,2
46,Clutha District,Acts Intended to Cause Injury,110,392835,18650,Contributing,7
46,Clutha District,Acts Intended to Cause Injury,110,392835,18650,Full Primary,13
46,Clutha District,Acts Intended to Cause Injury,110,392835,18650,Secondary (Year 7-15),2
46,Clutha District,Acts Intended to Cause Injury,110,392835,18650,Secondary (Year 9-15),1
47,Clutha District,"Robbery, Extortion and Related Offences",4,392835,18650,Composite,2
47,Clutha District,"Robbery, Extortion and Related Offences",4,392835,18650,Contributing,7
47,Clutha District,"Robbery, Extortion and Related Offences",4,392835,18650,Full Primary,13
47,Clutha District,"Robbery, Extortion and Related Offences",4,392835,18650,Secondary (Year 7-15),2
47,Clutha District,"Robbery, Extortion and Related Offences",4,392835,18650,Secondary (Year 9-15),1
48,Clutha District,Sexual Assault and Related Offences,14,392835,18650,Composite,2
48,Clutha District,Sexual Assault and Related Offences,14,392835,18650,Contributing,7
48,Clutha District,Sexual Assault and Related Offences,14,392835,18650,Full Primary,13
48,Clutha District,Sexual Assault and Related Offences,14,392835,18650,Secondary (Year 7-15),2
48,Clutha District,Sexual Assault and Related Offences,14,392835,18650,Secondary (Year 9-15),1
49,Clutha District,Theft and Related Offences,77,392835,18650,Composite,2
49,Clutha District,Theft and Related Offences,77,392835,18650,Contributing,7
49,Clutha District,Theft and Related Offences,77,392835,18650,Full Primary,13
49,Clutha District,Theft and Related Offences,77,392835,18650,Secondary (Year 7-15),2
49,Clutha District,Theft and Related Offences,77,392835,18650,Secondary (Year 9-15),1
50,Clutha District,"Unlawful Entry With Intent/Burglary, Break and Enter",83,392835,18650,Composite,2
50,Clutha District,"Unlawful Entry With Intent/Burglary, Break and Enter",83,392835,18650,Contributing,7
50,Clutha District,"Unlawful Entry With Intent/Burglary, Break and Enter",83,392835,18650,Full Primary,13
50,Clutha District,"Unlawful Entry With Intent/Burglary, Break and Enter",83,392835,18650,Secondary (Year 7-15),2
50,Clutha District,"Unlawful Entry With Intent/Burglary, Break and Enter",83,392835,18650,Secondary (Year 9-15),1
51,Dunedin City,"Abduction, Harassment and Other Related Offences Against a Person",1,616117,130400,Activity Centre,1
51,Dunedin City,"Abduction, Harassment and Other Related Offences Against a Person",1,616117,130400,Composite,3
51,Dunedin City,"Abduction, Harassment and Other Related Offences Against a Person",1,616117,130400,Contributing,32
51,Dunedin City,"Abduction, Harassment and Other Related Offences Against a Person",1,616117,130400,Full Primary,21
51,Dunedin City,"Abduction, Harassment and Other Related Offences Against a Person",1,616117,130400,Intermediate,3
51,Dunedin City,"Abduction, Harassment and Other Related Offences Against a Person",1,616117,130400,Secondary (Year 7-15),5
51,Dunedin City,"Abduction, Harassment and Other Related Offences Against a Person",1,616117,130400,Secondary (Year 9-15),6
51,Dunedin City,"Abduction, Harassment and Other Related Offences Against a Person",1,616117,130400,Special School,1
52,Dunedin City,Acts Intended to Cause Injury,673,616117,130400,Activity Centre,1
52,Dunedin City,Acts Intended to Cause Injury,673,616117,130400,Composite,3
52,Dunedin City,Acts Intended to Cause Injury,673,616117,130400,Contributing,32
52,Dunedin City,Acts Intended to Cause Injury,673,616117,130400,Full Primary,21
52,Dunedin City,Acts Intended to Cause Injury,673,616117,130400,Intermediate,3
52,Dunedin City,Acts Intended to Cause Injury,673,616117,130400,Secondary (Year 7-15),5
52,Dunedin City,Acts Intended to Cause Injury,673,616117,130400,Secondary (Year 9-15),6
52,Dunedin City,Acts Intended to Cause Injury,673,616117,130400,Special School,1
53,Dunedin City,"Robbery, Extortion and Related Offences",71,616117,130400,Activity Centre,1
53,Dunedin City,"Robbery, Extortion and Related Offences",71,616117,130400,Composite,3
53,Dunedin City,"Robbery, Extortion and Related Offences",71,616117,130400,Contributing,32
53,Dunedin City,"Robbery, Extortion and Related Offences",71,616117,130400,Full Primary,21
53,Dunedin City,"Robbery, Extortion and Related Offences",71,616117,130400,Intermediate,3
53,Dunedin City,"Robbery, Extortion and Related Offences",71,616117,130400,Secondary (Year 7-15),5
53,Dunedin City,"Robbery, Extortion and Related Offences",71,616117,130400,Secondary (Year 9-15),6
53,Dunedin City,"Robbery, Extortion and Related Offences",71,616117,130400,Special School,1
54,Dunedin City,Sexual Assault and Related Offences,110,616117,130400,Activity Centre,1
54,Dunedin City,Sexual Assault and Related Offences,110,616117,130400,Composite,3
54,Dunedin City,Sexual Assault and Related Offences,110,616117,130400,Contributing,32
54,Dunedin City,Sexual Assault and Related Offences,110,616117,130400,Full Primary,21
54,Dunedin City,Sexual Assault and Related Offences,110,616117,130400,Intermediate,3
54,Dunedin City,Sexual Assault and Related Offences,110,616117,130400,Secondary (Year 7-15),5
54,Dunedin City,Sexual Assault and Related Offences,110,616117,130400,Secondary (Year 9-15),6
54,Dunedin City,Sexual Assault and Related Offences,110,616117,130400,Special School,1
55,Dunedin City,Theft and Related Offences,1641,616117,130400,Activity Centre,1
55,Dunedin City,Theft and Related Offences,1641,616117,130400,Composite,3
55,Dunedin City,Theft and Related Offences,1641,616117,130400,Contributing,32
55,Dunedin City,Theft and Related Offences,1641,616117,130400,Full Primary,21
55,Dunedin City,Theft and Related Offences,1641,616117,130400,Intermediate,3
55,Dunedin City,Theft and Related Offences,1641,616117,130400,Secondary (Year 7-15),5
55,Dunedin City,Theft and Related Offences,1641,616117,130400,Secondary (Year 9-15),6
55,Dunedin City,Theft and Related Offences,1641,616117,130400,Special School,1
56,Dunedin City,"Unlawful Entry With Intent/Burglary, Break and Enter",488,616117,130400,Activity Centre,1
56,Dunedin City,"Unlawful Entry With Intent/Burglary, Break and Enter",488,616117,130400,Composite,3
56,Dunedin City,"Unlawful Entry With Intent/Burglary, Break and Enter",488,616117,130400,Contributing,32
56,Dunedin City,"Unlawful Entry With Intent/Burglary, Break and Enter",488,616117,130400,Full Primary,21
56,Dunedin City,"Unlawful Entry With Intent/Burglary, Break and Enter",488,616117,130400,Intermediate,3
56,Dunedin City,"Unlawful Entry With Intent/Burglary, Break and Enter",488,616117,130400,Secondary (Year 7-15),5
56,Dunedin City,"Unlawful Entry With Intent/Burglary, Break and Enter",488,616117,130400,Secondary (Year 9-15),6
56,Dunedin City,"Unlawful Entry With Intent/Burglary, Break and Enter",488,616117,130400,Special School,1
57,Far North District,"Abduction, Harassment and Other Related Offences Against a Person",2,700402,73800,Composite,15
57,Far North District,"Abduction, Harassment and Other Related Offences Against a Person",2,700402,73800,Composite (Year 1-10),1
57,Far North District,"Abduction, Harassment and Other Related Offences Against a Person",2,700402,73800,Contributing,17
57,Far North District,"Abduction, Harassment and Other Related Offences Against a Person",2,700402,73800,Full Primary,31
57,Far North District,"Abduction, Harassment and Other Related Offences Against a Person",2,700402,73800,Intermediate,2
57,Far North District,"Abduction, Harassment and Other Related Offences Against a Person",2,700402,73800,Secondary (Year 7-15),3
57,Far North District,"Abduction, Harassment and Other Related Offences Against a Person",2,700402,73800,Secondary (Year 9-15),3
57,Far North District,"Abduction, Harassment and Other Related Offences Against a Person",2,700402,73800,Teen Parent Unit,1
58,Far North District,Acts Intended to Cause Injury,578,700402,73800,Composite,15
58,Far North District,Acts Intended to Cause Injury,578,700402,73800,Composite (Year 1-10),1
58,Far North District,Acts Intended to Cause Injury,578,700402,73800,Contributing,17
58,Far North District,Acts Intended to Cause Injury,578,700402,73800,Full Primary,31
58,Far North District,Acts Intended to Cause Injury,578,700402,73800,Intermediate,2
58,Far North District,Acts Intended to Cause Injury,578,700402,73800,Secondary (Year 7-15),3
58,Far North District,Acts Intended to Cause Injury,578,700402,73800,Secondary (Year 9-15),3
58,Far North District,Acts Intended to Cause Injury,578,700402,73800,Teen Parent Unit,1
59,Far North District,"Robbery, Extortion and Related Offences",18,700402,73800,Composite,15
59,Far North District,"Robbery, Extortion and Related Offences",18,700402,73800,Composite (Year 1-10),1
59,Far North District,"Robbery, Extortion and Related Offences",18,700402,73800,Contributing,17
59,Far North District,"Robbery, Extortion and Related Offences",18,700402,73800,Full Primary,31
59,Far North District,"Robbery, Extortion and Related Offences",18,700402,73800,Intermediate,2
59,Far North District,"Robbery, Extortion and Related Offences",18,700402,73800,Secondary (Year 7-15),3
59,Far North District,"Robbery, Extortion and Related Offences",18,700402,73800,Secondary (Year 9-15),3
59,Far North District,"Robbery, Extortion and Related Offences",18,700402,73800,Teen Parent Unit,1
60,Far North District,Sexual Assault and Related Offences,73,700402,73800,Composite,15
60,Far North District,Sexual Assault and Related Offences,73,700402,73800,Composite (Year 1-10),1
60,Far North District,Sexual Assault and Related Offences,73,700402,73800,Contributing,17
60,Far North District,Sexual Assault and Related Offences,73,700402,73800,Full Primary,31
60,Far North District,Sexual Assault and Related Offences,73,700402,73800,Intermediate,2
60,Far North District,Sexual Assault and Related Offences,73,700402,73800,Secondary (Year 7-15),3
60,Far North District,Sexual Assault and Related Offences,73,700402,73800,Secondary (Year 9-15),3
60,Far North District,Sexual Assault and Related Offences,73,700402,73800,Teen Parent Unit,1
61,Far North District,Theft and Related Offences,1436,700402,73800,Composite,15
61,Far North District,Theft and Related Offences,1436,700402,73800,Composite (Year 1-10),1
61,Far North District,Theft and Related Offences,1436,700402,73800,Contributing,17
